name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Agent Evaluation,,https://awslabs.github.io/agent-evaluation/,logos/400e4d0634dcd7b05d6b2031efe427761025d0c449189e8bfb4cd7ae797ecc0b.png,,,,,,,,,,,,,,,,,,,,,Agentic,Evaluations,,,,,,,,,,,,,,,,,,,,,,,,
Agent Gateway,,https://agentgateway.dev/,logos/ac86ef3f7dc9bbfa544eb7502a35970261e387210cc6e4ee4f7a0db547b60a98.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Agentic Gateways,,,,,,,,,,,,,,,,,,,,,,,,
Arize Phoenix,,https://arize.com/docs/phoenix,logos/e03f349ff70aa8da06ee16bdd9e5e750a2259fa8bbfd37e212c36b506d37c6aa.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Observability,,,,,,,,,,,,,,,,,,,,,,,,
Autogen,,https://microsoft.github.io/autogen/,logos/8181fc413d64251d2a0aab17f5998b084146cc90eccf625ed14f19b739620556.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
Comet Optik,,https://www.comet.com/docs/opik/,logos/0f03edffb3557b0edb058d50628e92d6c1b03e82c621517bef9d59cdeff93920.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Observability,,,,,,,,,,,,,,,,,,,,,,,,
Crew AI,,https://crewai.com/,logos/2f7b68b92e909ffd070ac69fc39e1f69a51ece7733efca5494529223769cb1c9.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
DeepEval,,https://deepeval.com/,logos/659882c6f7dcbf109873e1b3229725ddb0519cdff36cacb38c1bb5d378c1cf7a.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Evaluations,,,,,,,,,,,,,,,,,,,,,,,,
e2b,,https://e2b.dev,logos/18bd1da6aca0b08ecddb3afa704752862f23ff42bb82b4e9be73d0ebcea9af8f.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Code Sandbox,,,,,,,,,,,,,,,,,,,,,,,,
Envoy,,https://aigateway.envoyproxy.io/,logos/df8b8caf4cf8763be5932dc58d7272c03e50fc4dcfdf7eaee4a28a34d6ac5b7d.svg,,,,,,,,,,,,,,,,,,,,,Agentic,LLM Gateway,,,,,,,,,,,,,,,,,,,,,,,,
HAL: The Holistic Agent Leaderboard,,https://github.com/princeton-pli/hal-harness,logos/c3a0b97f771d5882882322de77ca5682b7dcc01e6c28a09b2d73cb0702b96354.png,,,,,,,,,,,,,,,,,,,,,Agentic,Evaluations,,,,,,,,,,,,,,,,,,,,,,,,
Haystack,,https://haystack.deepset.ai/,logos/72f89d6277aa544d908cef0cb5cc6b5ddde56c53310e238513593cf3152e92cb.png,,,,,,,,,,,,,,,,,,,,,Agentic,RAG,,,,,,,,,,,,,,,,,,,,,,,,
Helicone,,https://www.helicone.ai/,logos/2ce9ee089903a7482a057af82f6d1889e313015f3a83123a4e0d9105e3b298cb.svg,,,,,,,,,,,,,,,,,,,,,Agentic,Observability,,,,,,,,,,,,,,,,,,,,,,,,
higress,,https://higress.ai/,logos/b9571fe773a27a288d19608f9cacb30dc1fc0fc9c87c97170d66aa98d33c5b92.png,,,,,,,,,,,,,,,,,,,,,Agentic,LLM Gateway,,,,,,,,,,,,,,,,,,,,,,,,
